Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
CLF,5.74,Call,7.00,08/21/20,42,0.35,0.38,0.40,0.35,3002,2913,1.03,97.02%,07/10/20
CWH,30.23,Put,30.00,09/18/20,70,4.80,5.1,5.40,4.90,10092,10009,1.01,96.86%,07/10/20
CWH,30.23,Call,40.00,08/21/20,42,1.20,1.3,1.40,1.25,906,483,1.88,96.84%,07/10/20
AMBC,13.39,Call,15.00,08/21/20,42,1.00,1.13,1.25,1.16,3583,141,25.41,96.71%,07/10/20
CCL,16.16,Call,22.50,08/21/20,42,0.52,0.53,0.53,0.51,851,1611,0.53,96.57%,07/10/20
DKNG,32.43,Call,55.00,08/21/20,42,0.25,0.3,0.35,0.31,525,4276,0.12,96.42%,07/10/20
RCL,51.77,Call,55.00,09/18/20,70,7.50,7.65,7.80,7.44,635,2318,0.27,96.28%,07/10/20
APA,12.71,Call,20.00,10/16/20,98,0.75,0.78,0.81,0.78,776,4939,0.16,96.27%,07/10/20
DKNG,32.43,Call,40.00,08/21/20,42,1.80,1.95,2.10,1.85,3035,18135,0.17,96.27%,07/10/20
CCL,16.16,Call,20.00,09/18/20,70,1.40,1.45,1.50,1.48,3365,2407,1.4,96.22%,07/10/20
SABR,8.21,Call,11.00,10/16/20,98,0.70,0.77,0.85,0.81,2951,7528,0.39,96.16%,07/10/20
RCL,51.77,Call,60.00,09/18/20,70,5.75,5.9,6.05,5.80,552,3698,0.15,96.10%,07/10/20
CCL,16.16,Call,15.00,08/21/20,42,2.55,2.66,2.76,2.66,1110,3075,0.36,96.04%,07/10/20
BBBY,8.19,Call,10.00,11/20/20,133,1.20,1.29,1.37,1.30,1037,5098,0.2,96.03%,07/10/20
TSLA,1544.65,Call,2850.00,01/15/21,189,139.10,143.77,148.45,146.10,2120,288,7.36,96.03%,07/10/20
CCL,16.16,Call,17.50,08/21/20,42,1.50,1.58,1.65,1.58,2690,5107,0.53,95.99%,07/10/20
CCL,16.16,Call,20.00,08/21/20,42,0.88,0.89,0.90,0.90,2455,3874,0.63,95.88%,07/10/20
DKNG,32.43,Call,45.00,08/21/20,42,0.90,0.95,1.00,1.02,876,7073,0.12,95.85%,07/10/20
CCL,16.16,Call,17.50,09/18/20,70,2.06,2.13,2.20,2.19,1904,1857,1.03,95.76%,07/10/20
CAR,28.04,Put,45.00,11/20/20,133,18.30,18.7,19.10,19.10,750,756,0.99,95.71%,07/10/20
DKNG,32.43,Call,50.00,08/21/20,42,0.50,0.55,0.60,0.55,648,8962,0.07,95.52%,07/10/20
BBBY,8.19,Call,10.00,08/21/20,42,0.48,0.5,0.52,0.48,622,7180,0.09,95.36%,07/10/20
CNX,8.43,Put,7.00,08/21/20,42,0.40,0.43,0.45,0.43,15304,627,24.41,95.36%,07/10/20
CCL,16.16,Call,30.00,01/15/21,189,1.22,1.37,1.52,1.48,702,11580,0.06,95.32%,07/10/20
MAC,8.46,Call,14.00,09/18/20,70,0.20,0.3,0.40,0.25,1116,253,4.41,95.26%,07/10/20
HTZ,1.45,Call,8.00,01/21/22,560,0.12,0.14,0.16,0.12,699,22613,0.03,95.14%,07/10/20
ASPS,12.4,Call,25.00,10/16/20,98,0.15,0.35,0.55,0.30,1500,1519,0.99,95.08%,07/10/20
NET,40.08,Call,55.00,08/21/20,42,1.25,1.3,1.35,1.30,630,277,2.27,94.89%,07/10/20
NCLH,16.4,Call,50.00,01/15/21,189,0.41,0.45,0.49,0.41,765,4929,0.16,94.83%,07/10/20
CCL,16.16,Call,15.00,09/18/20,70,3.15,3.22,3.30,3.20,616,5622,0.11,94.75%,07/10/20
SONO,15.1,Call,17.50,08/21/20,42,1.10,1.13,1.15,1.10,590,3300,0.18,94.68%,07/10/20
NSTG,34.95,Call,35.00,08/21/20,42,3.20,4.05,4.90,4.45,500,1102,0.45,94.46%,07/10/20
CLF,5.74,Put,3.00,01/15/21,189,0.18,0.23,0.27,0.24,518,23286,0.02,94.25%,07/10/20
DAL,27.09,Put,26.00,07/31/20,21,1.75,1.91,2.06,1.86,911,133,6.85,93.70%,07/10/20
AMBC,13.39,Call,17.50,08/21/20,42,0.45,0.5,0.55,0.54,3377,3439,0.98,93.51%,07/10/20
IVR,3.31,Call,8.00,01/15/21,189,0.10,0.15,0.20,0.15,1106,6907,0.16,93.40%,07/10/20
MAC,8.46,Call,10.00,01/15/21,189,1.40,1.6,1.80,1.75,2795,1662,1.68,93.39%,07/10/20
M,6.77,Call,7.00,08/21/20,42,0.74,0.77,0.79,0.76,1024,9432,0.11,93.33%,07/10/20
CCL,16.16,Call,17.50,01/15/21,189,3.80,3.85,3.90,3.82,747,9188,0.08,93.22%,07/10/20
SONO,15.1,Call,15.00,08/21/20,42,1.90,1.97,2.05,1.95,584,16567,0.04,93.15%,07/10/20
BBBY,8.19,Call,15.00,11/20/20,133,0.40,0.46,0.52,0.44,916,4635,0.2,92.93%,07/10/20
VSTO,14.66,Call,15.00,08/21/20,42,1.60,1.83,2.05,1.70,1331,4519,0.29,92.85%,07/10/20
CCL,16.16,Call,25.00,01/15/21,189,2.05,2.06,2.07,2.04,661,20948,0.03,92.83%,07/10/20
CCL,16.16,Call,20.00,01/15/21,189,3.00,3.05,3.10,3.07,1062,19727,0.05,92.73%,07/10/20
DKNG,32.43,Put,30.00,07/31/20,21,1.35,1.78,2.20,1.70,542,2233,0.24,92.48%,07/10/20
HEAR,17.63,Call,18.00,08/21/20,42,1.85,2.23,2.60,2.05,599,730,0.82,92.41%,07/10/20
GPS,11.65,Put,11.00,08/21/20,42,0.60,0.84,1.08,1.10,801,534,1.5,92.37%,07/10/20
AXL,6.84,Call,15.00,10/16/20,98,0.10,0.13,0.15,0.10,1245,9906,0.13,92.04%,07/10/20
TSLA,1544.65,Call,2000.00,01/15/21,189,261.50,265.75,270.00,268.00,603,302,2,91.92%,07/10/20
SNAP,25.53,Call,35.00,08/07/20,28,0.39,0.4,0.41,0.39,1781,3872,0.46,91.62%,07/10/20
SPWR,9.23,Call,10.00,09/18/20,70,1.10,1.19,1.28,1.18,2234,2622,0.85,91.46%,07/10/20
